id,full_name,date_of_birth
3026,"Mauro Basile",1990-04-05
3116,"Shaira Grassi",1990-05-30
3227,"Gianleonardo Ferretti",1990-11-28
3242,"Erminia Greco",1990-11-14
3286,"Leone Marini",1990-01-09
3309,"Noemi De rosa",1990-09-19
3327,"Pietro Negri",1990-03-12
3332,"Silverio Palumbo",1990-03-02
3361,"Graziano Martini",1990-12-18
3379,"Graziano Riva",1990-01-31
3397,"Cassiopea Ferraro",1990-04-28
3425,"Fortunata Pellegrino",1990-05-19
3479,"Maruska Barone",1990-09-07
3498,"Claudia Lombardi",1990-06-02
3510,"Giuliano Marini",1990-03-10
3511,"Rita Ricci",1990-04-26
3522,"Timothy Marino",1990-07-25
3643,"Fortunata Bianchi",1990-05-02
3687,"Bibiana Galli",1990-03-14
3700,"Vitalba Pellegrino",1990-10-16
3718,"Irene Morelli",1990-08-26
3756,"Zelida Palumbo",1990-12-03
3760,"Bibiana Neri",1990-08-28
3770,"Caligola Guerra",1990-03-07
3835,"Ileana Ricci",1990-03-17
3841,"Ausonio Sala",1990-02-23
3868,"Clea Bellini",1990-05-30
3869,"Cleopatra Parisi",1990-01-14
3871,"Gaetano Barone",1990-01-31
3882,"Gavino Conte",1990-08-19
3894,"Egisto Longo",1990-07-18
3975,"Carlo Rinaldi",1990-10-10
3987,"Vera Rinaldi",1990-04-26
4001,"Vania Romano",1990-12-06
4032,"Ninfa Costa",1990-12-28
4044,"Davis Caruso",1990-07-28
4072,"Adriano Sanna",1990-06-16
4142,"Danuta Greco",1990-04-06
4205,"Noemi Ferri",1990-10-28
4240,"Carlo Monti",1990-01-29
4242,"Ivano Longo",1990-08-13
4246,"Isira Russo",1990-01-27
4247,"Deborah Fontana",1990-04-30
4284,"Raniero Ruggiero",1990-08-26
4302,"Guendalina Palmieri",1990-04-24
4313,"Anastasio Barone",1990-09-09
4345,"Lidia Rizzo",1990-12-28
4360,"Jelena Montanari",1990-07-27
4440,"Kris Negri",1990-10-21
4511,"Leonardo Pellegrino",1990-07-11
4518,"Violante Ferrara",1990-03-10
4540,"Gregorio Fabbri",1990-11-21
4560,"Marieva Greco",1990-10-03
4571,"Ingrid Pagano",1990-07-12
4594,"Concetta Romano",1990-11-27
4613,"Valdo Monti",1990-07-27
4628,"Danny Bianco",1990-03-05
4782,"Giulietta Milani",1990-02-04
4831,"Giancarlo Serra",1990-03-14
4897,"Carlo Fontana",1990-08-10
4900,"Bacchisio Morelli",1990-01-30
4914,"Ivano Gallo",1990-08-04
4936,"Terzo Martino",1990-01-04
4938,"Grazia Villa",1990-02-21
4952,"Alan Gallo",1990-11-15
4961,"Cleros Fiore",1990-10-24
4972,"Silverio Grasso",1990-09-15
